Dato,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515
onsdag 1.februar,,,,,,,,,,,,,,,x
torsdag 2.februar,,,,,,,,,,x,,,,,x
søndag 5.februar,,,,,,,,,,x,,,,,x
mandag 6.februar,,,,,,,,,,x,,,,,
tirsdag 7.februar,x,,,,,,,,,,,,,,x
onsdag 8.februar,,,,,,,,,,,,,,,x
torsdag 9.februar,,,,,,,,,,x,,,,,x
søndag 12.februar,,,,,,X,,,,x,X,,,,x
mandag 13.februar,,,,,,X,,,,x,X,,,,x
tirsdag 14.februar,x,,,,,X,,,,,,,,,x
onsdag 15.februar,,,,x,,,,,,x,,,,,x
torsdag 16.februar,,,,x,,X,,,,x,,,,,x
søndag 19.februar,,,,,,,,,,,X,,,,x
mandag 20.februar,x,,,,,X,,,,x,,,,,x
tirsdag 21.februar,x,,,,,X,,,,,,,,,x
onsdag 22.februar,x,,,x,,,,,,x,,,,,x
torsdag 23.februar,,,,x,,X,,,,x,,,,,x
søndag 26.februar,,X,,,,X,,,,,X,,,,x
mandag 27.februar,x,X,,,,X,,,,,,,,,x
tirsdag 28.februar,x,X,,,,,,,,,,,,,x
